SM TRATORES LTDA;CNPJ: 02.367.369/0001-62;NIRE: 31205375095;
FILIAL: Todas;SINTÉTICA INICIAL: .  .  .  .  . .;SINTÉTICA FINAL: 9.99.99.99.99.9.;DATA: 19/09/2025 HORA: 10:06:27;
PERÍODO DE: 01/01/2025 A 31/01/2025;NÍVEL: 9  DIÁRIO:     0 INCLUI CONTAS INTEGRADAS?: Não;
BALANCETE MENSAL:  DA FILIAL UNAI;

Código;Descrição da conta;Saldo anterior;Débito;Crédito;Saldo atual;
913796;IRRF S/ SALARIOS;123966,47;123966,47;-42258,19;42258,19;
903072;PENSAO ALIMENTICIA;1086,17;1086,17;-1236,45;1236,45;
903064;PRO-LABORE A PAGAR;44340,14;44340,14;-44280,90;44280,90;
903043;SALARIOS A PAGAR;362944,69;377618,05;-413072,98;398399,62;
2.01.06;OUTRAS OBRIGACOES A PAGAR;54913922,18;3358951,15;-10584091,20;62139062,23;
2.01.06.01;OUTRAS OBRIGACOES A PAGAR;54913922,18;3358951,15;-10584091,20;62139062,23;
903067;ADIANTAMENTO DE CLIENTES;34042234,31;497112,32;-138415,08;33683537,07;
905504;ALUGUEIS A PAGAR;132540,96;39616,00;-52105,15;145030,11;
904643;DEVOLUCOES DE VENDAS;2492814,40;1329960,13;-66763,09;1229617,36;
915101;DUPLICATAS DESCONTADAS;1868507,72;485560,70;-139578,88;1522525,90;
905373;FUNDO DE CAPITALIZACAO RECONTRIBUICAO;-8911697,61;1006702,00;-1337229,00;-8581170,61;
915114;PARTES RELACIONADAS;25289522,40;0;-8850000,00;34139522,40;
2.01.09;VENDAS ANTECIPADAS;2220000,00;48,17;-48,17;2220000,00;
2.01.09.01;VENDAS PARA ENTREGA FUTURA;2220000,00;48,17;-48,17;2220000,00;
905221;VENDA ENTREGA FUTURA;2220000,00;48,17;-48,17;2220000,00;
2.02;NAO CIRCULANTE;23205745,04;159460,54;-7751424,63;30797709,13;
2.02.01;EXIGIVEL A LONGO PRAZO;23205745,04;158035,91;-7750000,00;30797709,13;
2.02.01.01;EMPRESTIMOS BANCARIOS-LONGO PRAZO;22349999,95;107142,86;-7750000,00;29992857,09;
2.02.01.03;PARCELAMENTOS FISCAIS - LONGO PRAZO;855745,09;50893,05;0;804852,04;
909503;PARCELAMENTO ESPECIAIS E ORDINARIOS A RECOLHER;855745,09;50893,05;0;804852,04;
2.02.03;CONTAS TRANSITORIAS;0;1424,63;-1424,63;0;
2.02.03.01;CONTAS TRANSITORIAS;0;1424,63;-1424,63;0;
910977;OUTRAS ENTRADAS/SAIDAS;0;1424,63;-1424,63;0;
2.03;PATRIMONIO LIQUIDO;4355678,89;0;0;4355678,89;
2.03.01;CAPITAL SOCIAL;30700000,00;0;0;30700000,00;
2.03.01.01;CAPITAL SOCIAL;30700000,00;0;0;30700000,00;
903097;CAPITAL SOCIAL;30700000,00;0;0;30700000,00;
2.03.02;RESERVAS DE INCENTIVOS FISCAIS;8532205,46;0;0;8532205,46;
2.03.02.01;RESERVAS DE INCENTIVOS FISCAIS;8532205,46;0;0;8532205,46;
911479;RESERVAS DE INCENTIVOS FISCAIS;8532205,46;0;0;8532205,46;
2.03.03;RESERVAS DE LUCROS;-34876526,57;0;0;-34876526,57;
2.03.03.01;RESERVAS DE LUCROS;-34876526,57;0;0;-34876526,57;
903107;LUCRO DO EXERCICIO;10711798,09;0;0;10711798,09;
903108;(-) PREJUIZO DO EXERCICIO;-45588324,66;0;0;-45588324,66;
3;CONTAS DE RESULTADOS;0;6194787,74;-4800884,38;-1393903,36;
3.01;RECEITA  OPERACIONAL;0;513726,48;-4440985,99;3927259,51;
3.01.01;RECEITAS BRUTAS DE VENDAS;0;0;-4436344,15;4436344,15;
3.01.01.01;RECEITAS COM VENDAS DE MERCADORIAS;0;0;-3716296,65;3716296,65;
903119;VENDA DE IMPLEMENTOS NOVOS;0;0;-217647,05;217647,05;
903123;VENDA DE LUBRIFICANTES;0;0;-38971,24;38971,24;
909491;VENDA DE LUBRIFICANTES AGCO;0;0;-218290,53;218290,53;
909531;VENDA DE PECAS EM GARANTIA;0;0;-296393,12;296393,12;
903115;VENDA DE PEÇAS MASSEY;0;0;-1637275,42;1637275,42;
903117;VENDA DE PEÇAS OUTRAS;0;0;-473743,53;473743,53;
903124;VENDA DE PNEUS;0;0;-15500,00;15500,00;
903112;VENDA DE TRATORES MASSEY;0;0;-805000,00;805000,00;
903125;VENDA MASSEY SHOP;0;0;-13475,76;13475,76;
